sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,motorRight,motorLeft
0.168235,1.000000,0.202241,1.000000,0.208522,0.275283,1.000000,-1.000000
0.190511,1.000000,0.155075,1.000000,0.252534,1.000000,1.000000,-1.000000
0.253750,1.000000,0.132433,1.000000,1.000000,1.000000,1.000000,-1.000000
0.225265,1.000000,0.127603,1.000000,1.000000,1.000000,1.000000,-1.000000
0.183443,1.000000,0.134634,1.000000,1.000000,1.000000,1.000000,-1.000000
0.152558,1.000000,0.150063,1.000000,1.000000,1.000000,1.000000,1.000000
0.149942,1.000000,0.154084,1.000000,1.000000,1.000000,1.000000,1.000000
0.150543,1.000000,0.154672,1.000000,1.000000,1.000000,1.000000,1.000000
0.151131,1.000000,0.155263,1.000000,1.000000,1.000000,1.000000,1.000000
0.151711,1.000000,0.155854,1.000000,1.000000,1.000000,1.000000,1.000000
0.152252,1.000000,0.156419,1.000000,1.000000,1.000000,1.000000,1.000000
